user_id,user_name,age,past_checkouts,return_patterns
U001,ZKILI,24,"B488, B183, B225, B798, B020, B049, B250","B488:Very Late, B183:Very Late, B225:Late, B798:Late, B020:Late, B049:On-Time, B250:Very Late"
U002,MHVPU,30,"B126, B519, B040, B455, B445","B126:Very Late, B519:Very Late, B040:On-Time, B455:Very Late, B445:Very Late"
U003,UORJO,18,"B023, B590, B565, B855, B223, B464, B172","B023:Late, B590:On-Time, B565:On-Time, B855:Very Late, B223:On-Time, B464:Very Late, B172:On-Time"
U004,NYBHF,30,"B093, B339, B645","B093:Late, B339:Very Late, B645:On-Time"
U005,HMSPC,24,"B117, B953, B354, B996","B117:Very Late, B953:Late, B354:Late, B996:Very Late"
U006,GAPOA,46,"B152, B358, B647","B152:Late, B358:Late, B647:Very Late"
U007,QGYMA,56,"B712, B327, B069, B221, B637","B712:Late, B327:Late, B069:On-Time, B221:Very Late, B637:Late"
U008,EGOMQ,40,"B381, B508, B920, B557, B582, B209, B105, B166, B070","B381:Very Late, B508:Very Late, B920:Very Late, B557:Very Late, B582:On-Time, B209:Very Late, B105:On-Time, B166:Very Late, B070:Very Late"
U009,QOTBT,21,"B090, B027","B090:Late, B027:On-Time"
U010,DMFNP,28,"B192, B015, B230","B192:Late, B015:On-Time, B230:Late"
U011,ANZPV,61,"B277, B412, B553, B206","B277:Very Late, B412:On-Time, B553:On-Time, B206:Very Late"
U012,AAXON,21,"B197, B386, B766, B138, B751, B192","B197:On-Time, B386:Very Late, B766:On-Time, B138:Very Late, B751:Late, B192:Very Late"
U013,RZIOO,34,"B965, B050, B521, B952, B797, B503, B755, B624, B695, B838","B965:Late, B050:On-Time, B521:On-Time, B952:Late, B797:On-Time, B503:Very Late, B755:On-Time, B624:Late, B695:On-Time, B838:Very Late"
U014,KLHNO,50,"B293, B966, B922, B704, B223, B051, B628, B456, B556, B529","B293:On-Time, B966:Very Late, B922:Very Late, B704:Late, B223:Late, B051:Very Late, B628:Very Late, B456:On-Time, B556:On-Time, B529:Late"
U015,CYKMN,53,"B587, B013","B587:On-Time, B013:Late"
U016,NOXNM,21,"B387, B866, B367, B073, B688, B223","B387:Very Late, B866:Very Late, B367:Late, B073:Very Late, B688:On-Time, B223:Very Late"
U017,TNIIB,58,"B163, B614, B838","B163:On-Time, B614:Very Late, B838:Late"
U018,DDFQV,28,"B788, B658, B409","B788:Late, B658:Very Late, B409:Late"
U019,RYNOL,48,"B328, B278, B387","B328:Late, B278:Late, B387:On-Time"
U020,YMGBL,45,"B628, B537, B014, B349, B890, B479, B545, B770","B628:Very Late, B537:Very Late, B014:Late, B349:Very Late, B890:Very Late, B479:Late, B545:Very Late, B770:Late"
U021,QISFO,65,"B042, B219, B413, B430, B588, B372, B250, B571, B567, B890","B042:Late, B219:On-Time, B413:Late, B430:On-Time, B588:Very Late, B372:On-Time, B250:On-Time, B571:Very Late, B567:On-Time, B890:Very Late"
U022,XLNIQ,41,"B827, B131, B436, B916, B224, B308, B684, B968, B434, B265","B827:On-Time, B131:Very Late, B436:Late, B916:Late, B224:On-Time, B308:On-Time, B684:Late, B968:On-Time, B434:On-Time, B265:Late"
U023,JVWGG,30,"B503, B750","B503:On-Time, B750:On-Time"
U024,GTFKH,19,"B808, B208","B808:Late, B208:On-Time"
U025,JSODQ,62,"B794, B748, B990, B530, B030","B794:Late, B748:On-Time, B990:Very Late, B530:Late, B030:Very Late"
U026,JWUSW,34,"B343, B894, B233, B134, B158, B318, B261, B058, B667","B343:Very Late, B894:Late, B233:On-Time, B134:On-Time, B158:On-Time, B318:Very Late, B261:Very Late, B058:Very Late, B667:Very Late"
U027,NULQD,52,"B998, B267, B626, B047, B952","B998:Very Late, B267:On-Time, B626:On-Time, B047:On-Time, B952:On-Time"
U028,LHJMG,38,"B300, B838, B032, B625, B366, B502, B232, B046","B300:Late, B838:Very Late, B032:Late, B625:Late, B366:Late, B502:Very Late, B232:Late, B046:Very Late"
U029,CEQCV,20,"B305, B669, B025, B892, B188, B308, B506, B803, B539","B305:Late, B669:Very Late, B025:Late, B892:Very Late, B188:On-Time, B308:Very Late, B506:On-Time, B803:On-Time, B539:Very Late"
U030,OFJSJ,40,"B831, B945, B988, B123, B839, B622, B541, B496","B831:Late, B945:Late, B988:Late, B123:Late, B839:Very Late, B622:Late, B541:Very Late, B496:On-Time"
U031,BTXZB,42,"B351, B816, B565, B674, B545, B806, B446, B748, B133, B737","B351:Late, B816:Very Late, B565:Late, B674:Very Late, B545:Late, B806:Very Late, B446:Late, B748:Late, B133:Late, B737:Very Late"
U032,XGNHG,22,"B051, B197, B881","B051:On-Time, B197:Late, B881:On-Time"
U033,JZFWZ,34,"B189, B327, B198, B260, B714, B797, B676, B925","B189:Very Late, B327:On-Time, B198:Late, B260:On-Time, B714:On-Time, B797:Late, B676:On-Time, B925:Very Late"
U034,HYSUJ,23,"B983, B901, B236","B983:On-Time, B901:On-Time, B236:Late"
U035,PWPRQ,32,"B807, B458, B690, B840, B131","B807:Very Late, B458:On-Time, B690:Very Late, B840:On-Time, B131:Very Late"
U036,ZFIAC,26,"B066, B947, B152","B066:Late, B947:Late, B152:Very Late"
U037,LUJAJ,29,"B117, B146, B229, B958, B121","B117:On-Time, B146:On-Time, B229:Very Late, B958:Late, B121:Late"
U038,ZBDRF,64,"B598, B678, B785, B914, B127, B286, B008, B076, B029","B598:Late, B678:Late, B785:Late, B914:On-Time, B127:Late, B286:Late, B008:Very Late, B076:Late, B029:On-Time"
U039,NUIAI,44,"B891, B286, B801, B422, B447, B957","B891:On-Time, B286:Late, B801:On-Time, B422:Late, B447:Very Late, B957:Very Late"
U040,RHEGU,61,"B554, B061, B777, B945, B481","B554:Very Late, B061:Late, B777:Late, B945:Late, B481:On-Time"
U041,RLSCV,25,"B664, B903, B481, B460, B835, B691","B664:On-Time, B903:Late, B481:On-Time, B460:Very Late, B835:Very Late, B691:Very Late"
U042,GULWK,28,"B896, B624, B117, B729, B335, B019, B033, B815","B896:Late, B624:On-Time, B117:Late, B729:On-Time, B335:On-Time, B019:Late, B033:On-Time, B815:Very Late"
U043,CCXAJ,30,"B215, B697, B101, B604, B082, B989, B458, B413, B189, B759","B215:Late, B697:On-Time, B101:Very Late, B604:On-Time, B082:Late, B989:On-Time, B458:Late, B413:Very Late, B189:On-Time, B759:Very Late"
U044,ZRHSZ,52,"B514, B386, B412, B067, B073, B312, B218","B514:On-Time, B386:On-Time, B412:Late, B067:Very Late, B073:Very Late, B312:Very Late, B218:Late"
U045,NMGQN,45,"B242, B227, B832, B145, B494, B324, B371","B242:Late, B227:Very Late, B832:Very Late, B145:Late, B494:Very Late, B324:On-Time, B371:Late"
U046,RCXFC,22,"B962, B587, B198, B197, B991, B434, B339, B955","B962:Late, B587:Very Late, B198:Late, B197:On-Time, B991:On-Time, B434:On-Time, B339:Late, B955:Very Late"
U047,TFKRP,30,"B321, B546, B023, B162, B002","B321:Late, B546:On-Time, B023:On-Time, B162:On-Time, B002:On-Time"
U048,DRGBW,62,"B358, B776, B471, B945, B389, B242","B358:Late, B776:Late, B471:Very Late, B945:On-Time, B389:Late, B242:On-Time"
U049,LMOCU,39,"B473, B485, B112, B845, B703, B356, B802, B567, B513","B473:Late, B485:Late, B112:Very Late, B845:On-Time, B703:Late, B356:Late, B802:Late, B567:Late, B513:Late"
U050,WUPLV,41,"B267, B234, B072, B476, B879, B254, B013","B267:Late, B234:Late, B072:Very Late, B476:On-Time, B879:Very Late, B254:Late, B013:Late"
